X,Y,splendida,eachamensis,utcheensis,Malanda,Tully
150.559,-22.8,1,0,0,0,0
144.31667,-15.11667,1,0,0,0,0
151.233333,-23.85,1,0,0,0,0
145.53333,-16.95,1,0,0,0,0
146.01667,-17.75,1,0,0,0,0
146.6,-19.18333,1,0,0,0,0
145.21667,-15.7,1,0,0,0,0
144.68333,-15.73333,1,0,0,0,0
150.5,-22.69699,1,0,0,0,0
143.75,-14.51667,1,0,0,0,0
145.283,-15.6,1,0,0,0,0
145.41667,-16.98333,1,0,0,0,0
146.833,-19.266,1,0,0,0,0
146.38333,-19.06667,1,0,0,0,0
146.03333,-17.5,1,0,0,0,0
145.06667,-15.41667,1,0,0,0,0
144.2,-14.93333,1,0,0,0,0
145.6287516,-17.28621375,1,0,0,0,0
146.61667,-19.23333,1,0,0,0,0
151,-23.5,1,0,0,0,0
150.30333,-22.759,1,0,0,0,0
145.3,-16.01667,1,0,0,0,0
145.85,-17.15,1,0,0,0,0
145.1,-18.666667,1,0,0,0,0
150.666,-22.74583,1,0,0,0,0
145.3,-16.1,1,0,0,0,0
146,-17.56667,1,0,0,0,0
145.266667,-16.166667,1,0,0,0,0
145.28333,-16.15,1,0,0,0,0
151.1157771,-23.76647295,1,0,0,0,0
145.316667,-16.25,1,0,0,0,0
151.1141105,-23.76675066,1,0,0,0,0
